編號,村別數,鄰數,戶數,男數,女數,總人口數,出生人數,死亡人數,結婚對數,離婚對數,遷入人數,遷出人數
"1","東門里","31","1674","2837","2871","5708","4","3","1","0","15","24"
"2","西門里","42","3433","5598","5883","11481","6","7","6","3","53","57"
"3","南門里","34","1905","3096","3140","6236","11","3","0","1","25","17"
"4","北門里","28","1453","2467","2327","4794","10","2","3","1","14","22"
"5","古城里","25","1221","2045","2097","4142","7","3","1","0","32","10"
"6","金水里","16","666","1119","1068","2187","2","1","0","0","8","5"
"7","珠沙里","21","928","1591","1506","3097","2","2","2","1","22","15"
"8","賢庵里","25","1462","2547","2445","4992","2","1","2","1","10","21"
"9","新市里","29","1555","2461","2409","4870","5","2","2","0","22","12"
"10","山外里","20","1105","1841","1944","3785","6","0","0","0","21","19"
"11","正義里","19","843","1374","1376","2750","4","0","2","0","19","5"
"12","料羅里","16","559","1117","977","2094","3","0","1","0","13","4"
"13","瓊林里","22","1026","1728","1753","3481","6","1","0","1","8","10"
"14","新湖里","31","2598","4238","4079","8317","10","0","2","1","38","29"
"15","溪湖里","13","491","848","830","1678","4","0","0","0","6","0"
"16","蓮庵里","13","539","890","897","1787","2","3","0","0","3","4"
"17","汶沙里","27","1775","2794","2884","5678","5","2","0","0","14","16"
"18","三山里","20","621","1011","1016","2027","0","0","2","0","9","7"
"19","大洋里","10","406","636","618","1254","0","1","0","0","6","6"
"20","光前里","21","849","1281","1300","2581","2","2","2","1","9","7"
"21","何斗里","16","661","1066","1106","2172","3","1","0","0","13","3"
"22","西園里","14","478","847","807","1654","0","1","2","0","3","3"
"23","官嶼里","11","677","1136","1182","2318","0","1","0","0","3","1"
"24","浦山里","21","761","1243","1323","2566","6","1","2","1","10","7"
"25","古寧村","28","1059","1732","1799","3531","2","1","0","0","11","9"
"26","安美村","24","1442","2385","2355","4740","7","2","2","1","25","25"
"27","后盤村","11","500","803","833","1636","4","2","1","0","6","1"
"28","湖埔村","29","1976","3195","3157","6352","6","1","8","1","55","21"
"29","榜林村","28","1609","2813","2717","5530","5","5","4","0","32","29"
"30","盤山村","23","1645","4121","3934","8055","10","1","1","1","90","35"
"31","上岐村","27","717","1477","1604","3081","3","1","4","0","7","3"
"32","上林村","13","420","712","804","1516","0","0","2","0","8","6"
"33","西口村","21","643","1259","1322","2581","2","2","0","0","7","7"
"34","林湖村","23","915","1915","1751","3666","4","2","3","0","15","14"
"35","黃埔村","13","407","812","877","1689","1","1","1","0","3","2"
"36","大坵村","1","51","161","143","304","1","0","0","0","0","0"
"37","小坵村","1","82","167","190","357","0","0","0","0","0","1"
