日期,星期,總運量
2023/6/1,四,80147
2023/6/2,五,93366
2023/6/3,六,84269
2023/6/4,日,72121
2023/6/5,一,83006
2023/6/6,二,81928
2023/6/7,三,81507
2023/6/8,四,84725
2023/6/9,五,91224
2023/6/10,六,76325
2023/6/11,日,73500
2023/6/12,一,84697
2023/6/13,二,82529
2023/6/14,三,84985
2023/6/15,四,87661
2023/6/16,五,91860
2023/6/17,六,88941
2023/6/18,日,74933
2023/6/19,一,86965
2023/6/20,二,87339
2023/6/21,三,93104
2023/6/22,四,77912
2023/6/23,五,73880
2023/6/24,六,78232
2023/6/25,日,83579
2023/6/26,一,88708
2023/6/27,二,87417
2023/6/28,三,87122
2023/6/29,四,89680
2023/6/30,五,98752
